ENAME,risk_label,risk_score,danger,avg_rainfall,total_buildings,mean_height,plot_r,Median_Time,Type_Industrial,Type_Office/Commercial,Type_Residential/Composite,Type_Others,Waterfront,Mean_Elev,Elev_Var,Elev_Min,Elev_Max,t_pop,adhz,ma_hh,pop_pub,pop_s,pop_pri,pop_non,pop_tem,dm_r
Yuet Wu,Medium Risk,0.5835800509212818,32.7,5.03,44,22.143181818181816,0.9131627925053714,1993.0,2.0,1.0,18.0,3.0,1,6.584795321637427,16,2,17,12513,2.9,35070,0,8901,3612,0,0,3500.0
Fu Sun,Medium Risk,0.6126286299968302,34.3,5.03,73,18.869863013698613,1.4074626636930758,1999.0,0.0,1.0,23.0,6.0,0,14.509803921568626,44,2,55,18409,2.9,31170,0,8523,9886,0,0,11000.0
Siu Tsui,Medium Risk,0.5827076769872854,32.7,5.03,77,16.483116883116885,1.4837175120260007,2000.0,0.0,2.0,18.0,3.0,0,15.435424354243553,51,1,70,18403,2.8,32390,0,11670,6538,195,0,11000.0
Yau Oi South,Medium Risk,0.49654864248143893,27.8,5.03,18,21.94444444444445,7.526888487610263,1987.5,0.0,1.0,35.0,5.0,0,20.095744680851055,16,12,27,14379,2.6,18220,14233,0,0,146,0,1610.0
On Ting,Medium Risk,0.4945376532554559,27.7,5.03,35,13.417142857142863,0.6276515216062883,1998.0,0.0,0.0,0.0,1.0,0,20.25263157894735,34,3,51,15445,2.4,16640,11270,3618,269,288,0,1150.0
San Po Kong,Low Risk,0.17833607622779613,10.0,6.86,149,9.70134228187916,4.093886813100857,1972.0,73.0,20.0,46.0,6.0,0,20.753351206434306,37,4,42,18199,2.7,26790,0,10588,6710,734,167,5200.0
Choi Wan West,Medium Risk,0.5850357600880024,32.8,7.01,17,18.17058823529411,0.15162460723213392,1987.5,0.0,1.0,35.0,5.0,0,59.29702970297031,65,17,97,12769,2.9,22800,11144,1575,26,24,0,2110.0
Lok Fu,Low Risk,0.20717473214017226,11.6,6.86,42,14.035714285714285,2.2268771779791616,1968.5,0.0,0.0,5.0,7.0,0,29.13131313131315,27,19,45,14170,2.7,21800,9944,3275,805,146,0,2410.0
Lung Ha,Low Risk,0.06075429929364774,3.4,6.86,52,9.488461538461543,0.9082565776097088,1964.5,0.0,0.0,20.0,4.0,0,13.06060606060606,19,6,25,15897,2.5,18950,2402,8787,4536,94,78,2360.0
Choi Wan East,Medium Risk,0.6256697087053863,35.1,7.01,46,11.100000000000009,0.1733097162947421,1999.0,0.0,0.0,14.0,14.0,0,201.24238227146827,325,49,538,13327,3.0,40340,5930,0,7270,127,0,3000.0
Chi Choi,Medium Risk,0.44940257586419524,25.2,6.86,150,13.63266666666669,1.8682254498302044,1985.0,0.0,5.0,30.0,8.0,0,46.59737417943104,117,7,156,15309,2.7,36180,3199,6339,5509,143,119,1960.0
Lung Tsui,Medium Risk,0.6557471252132695,36.8,6.86,46,10.126086956521739,0.6501080191064109,2003.0,0.0,0.0,6.0,9.0,0,13.042424242424241,21,6,29,15459,2.8,26170,10948,0,4201,310,0,2290.0
Wang Tau Hom,Medium Risk,0.6018791174339909,33.7,6.75,38,20.173684210526318,1.4883320030763152,1987.5,0.0,0.0,0.0,4.0,0,33.57534246575344,42,15,57,16936,2.9,21350,16886,0,0,50,0,2310.0
Lung Sheung,Medium Risk,0.3640430761550527,20.4,6.86,82,12.319512195121952,0.6429500735582561,1981.0,0.0,0.0,1.0,10.0,0,23.99724517906337,46,8,53,20102,2.7,19920,19564,0,198,120,220,3060.0
Tin Keung,Medium Risk,0.5585807472096335,31.3,6.75,44,29.50909090909093,3.797325797250986,1973.0,0.0,0.0,0.0,5.0,0,52.34969325153374,44,32,83,13258,2.6,28350,0,9585,3661,12,0,12500.0
Stubbs Road,Medium Risk,0.3107777937012376,17.4,6.57,451,11.539467849223957,0.3135976721593497,1980.0,0.0,2.0,388.0,31.0,0,194.34481283422454,383,6,388,14245,3.5,99100,0,0,13920,323,2,40500.0
Happy Valley,Medium Risk,0.34347299444625634,19.3,6.43,269,14.671375464684022,2.622726410641311,1979.0,0.0,3.0,269.0,35.0,0,22.53643724696356,67,3,73,13248,2.4,50040,0,0,13202,23,23,21250.0
Broadwood,Medium Risk,0.4319504400693981,24.2,6.43,130,15.347692307692338,1.1568486988948796,1984.0,0.0,2.0,129.0,19.0,0,42.16013628620101,98,8,114,12958,3.3,98190,0,0,12717,241,0,41000.0
Jardine's Lookout,Low Risk,0.2379769103986262,13.3,6.57,351,12.495441595441587,0.5912980057284798,1974.0,1.0,2.0,310.0,41.0,0,217.3138058172883,373,7,403,14459,3.6,122040,0,0,14196,262,1,44000.0
Tai Hang,Low Risk,0.2662752818718781,14.9,6.43,247,10.58259109311745,2.3832152435663736,1979.0,0.0,21.0,193.0,31.0,0,21.94469026548672,68,2,79,11425,2.4,50000,0,0,11336,89,0,20000.0
Causeway Bay,Low Risk,0.22326962176009596,12.5,6.43,236,11.512711864406803,2.84658322696844,1975.0,0.0,124.0,154.0,2.0,1,13.647940074906364,30,1,30,13050,2.5,30200,0,0,12978,59,13,13000.0
Tin Hau,Medium Risk,0.31198737506359703,17.5,6.94,92,13.23043478260869,1.924559321011685,1976.0,0.0,4.0,66.0,7.0,0,59.24858757062147,77,8,100,14527,2.8,31170,6221,0,8306,0,0,2430.0
Hennessy,Medium Risk,0.32255738226562036,18.1,6.83,206,11.854368932038849,2.5405220034338027,1979.0,0.0,77.0,201.0,8.0,1,13.680134680134685,38,1,39,11220,2.2,35250,0,0,11030,178,12,13000.0
Southorn,Medium Risk,0.46876765423313516,26.3,6.83,245,14.786530612244906,1.299512219344733,1985.0,0.0,67.0,198.0,15.0,1,114.04329461457239,266,5,306,13294,2.4,60000,0,0,13108,181,5,21250.0
Oi Kwan,Medium Risk,0.3677262161987603,20.6,6.83,187,12.642780748663096,1.8382944810236679,1981.0,0.0,140.0,137.0,26.0,1,14.415204678362572,26,0,25,12439,2.4,30150,0,0,12216,195,28,12600.0
Tai Fat Hau,Medium Risk,0.3793405600781044,21.3,7.0,184,12.531521739130412,1.1107551390159123,1981.0,0.0,87.0,179.0,11.0,1,18.242587601078164,63,0,68,10317,2.0,40100,0,0,10293,21,3,17000.0
Canal Road,Low Risk,0.26269114443318814,14.7,6.43,247,11.194736842105293,3.71206534802774,1978.0,0.0,131.0,151.0,5.0,1,14.506849315068495,36,0,35,11992,2.3,28040,0,0,11966,24,2,9500.0
Victoria Park,Medium Risk,0.3159025225416443,17.7,6.43,224,11.607142857142868,1.681863271557152,1981.0,1.0,50.0,135.0,3.0,1,9.120901639344266,45,0,48,13521,2.6,46640,0,0,13458,36,27,17000.0
Hoi Bun,Medium Risk,0.3866189394511288,21.7,6.26,27,8.059259259259257,0.4105442648614507,1991.0,0.0,1.0,32.0,0.0,1,10.848484848484851,23,2,24,18527,3.0,42250,0,0,18527,0,0,13000.0
Ma Wan,Medium Risk,0.6206341673377376,34.8,5.6,790,12.848354430379718,0.2223522956211342,2004.0,1.0,3.0,32.0,25.0,1,68.7497320809431,275,0,275,14409,2.6,52820,0,0,14409,0,0,15000.0
Yeung Uk Road,Low Risk,0.10068305982348129,5.6,6.26,185,9.756216216216188,12.882759765195393,1970.0,31.0,6.0,87.0,5.0,0,38.97468354430383,78,10,112,16236,2.6,24050,595,3825,11324,438,54,5200.0
Tak Wah,Low Risk,0.20223510191863675,11.3,6.26,268,13.530970149253726,5.317448022403344,1972.0,0.0,14.0,129.0,13.0,0,17.153191489361696,38,7,65,15341,2.6,19570,0,0,14783,500,58,6300.0
Tsuen Wan South,Medium Risk,0.475569133198921,26.7,6.26,132,13.973484848484865,1.2319327743650312,1989.5,63.0,13.0,60.0,2.0,0,29.184782608695663,92,2,114,22710,2.8,50170,0,0,21891,817,2,14500.0
Fuk Loi,Low Risk,0.1517008573969037,8.5,6.26,82,10.052439024390253,3.7339557682473186,1973.0,0.0,2.0,59.0,4.0,0,17.876404494382022,33,6,47,13490,2.5,18130,6913,0,6530,0,47,1920.0
Tsuen Wan West,Medium Risk,0.4609044415595431,25.8,6.26,110,11.191818181818164,1.5293889195056143,1992.0,71.0,12.0,38.0,16.0,1,22.775806451612898,73,0,76,23563,3.1,54600,0,0,22490,1070,3,20000.0
Discovery Park,Medium Risk,0.3647525241267914,20.4,6.26,71,9.307042253521129,2.9799524586581843,1988.0,11.0,2.0,29.0,0.0,0,18.703703703703695,44,5,61,17325,2.8,42040,0,0,17325,0,0,14800.0
Tsuen Wan Centre,Medium Risk,0.3029189847345522,17.0,6.26,41,10.843902439024387,2.601445239761522,1982.0,0.0,0.0,32.0,5.0,0,31.122580645161307,51,10,76,14733,2.4,30040,0,0,14230,451,52,10500.0
Lei Muk Shue West,Medium Risk,0.3027152551200468,17.0,6.26,18,6.422222222222224,0.7318990546877283,1987.5,0.0,1.0,35.0,5.0,0,104.375,34,93,147,15261,2.9,21890,15225,0,0,36,0,2240.0
Tsuen Wan Rural,Medium Risk,0.44718133074675126,25.1,5.87,341,12.933431085043992,0.40023375068709954,1991.0,0.0,1.0,88.0,7.0,1,143.89982985963417,302,1,320,18658,2.8,40390,0,0,18636,0,22,14000.0
Lei Muk Shue East,Medium Risk,0.3500039884683301,19.6,6.26,612,12.53578431372543,9.013423175358241,1983.0,12.0,0.0,7.0,4.0,0,54.127107652399474,117,13,147,19243,2.7,22040,12473,0,6325,159,286,2750.0
Cheung Shek,Medium Risk,0.36992585344653395,20.7,6.26,819,10.383028083028108,5.129757564166592,1987.0,0.0,0.0,4.0,15.0,0,131.1463195691203,169,45,219,13514,3.0,24260,9289,0,2892,430,903,2010.0
Ting Sham,Medium Risk,0.5101533034695933,28.6,5.87,728,11.456868131868113,0.427746441388752,1997.0,6.0,5.0,96.0,3.0,1,194.33111353711797,535,0,548,17009,2.9,54390,0,0,16792,48,169,16000.0
Lai To,Medium Risk,0.5032880511921463,28.2,5.87,370,13.499189189189188,0.20383628353037728,1994.0,0.0,1.0,70.0,3.0,0,282.66456482277414,518,16,547,18694,3.1,44660,0,0,18203,150,341,15500.0
Allway,Medium Risk,0.6582712037033406,36.9,7.3,579,11.587564766839368,0.5390657632660555,1999.0,4.0,0.0,74.0,16.0,0,385.1569939659901,896,8,925,18233,2.8,40220,0,0,16773,907,553,13000.0
Shek Wai Kok,Medium Risk,0.45820078152114824,25.7,7.3,232,12.218534482758617,0.0999202632013351,1985.0,0.0,0.0,0.0,1.0,0,388.304060978735,871,22,911,12198,2.4,17040,11498,0,391,166,143,2010.0
Luk Yeung,Medium Risk,0.35148914565916206,19.7,6.26,391,11.010485933503812,6.327705146981285,1985.0,0.0,1.0,22.0,12.0,0,36.4735576923077,90,9,108,14154,2.8,37240,0,0,13965,174,15,12060.0
Clague Garden,Low Risk,0.17757791800991896,10.0,6.26,104,12.224999999999987,3.0768401669590144,1972.0,0.0,1.0,68.0,3.0,0,15.185929648241206,32,6,51,16796,2.6,21830,3572,1344,11821,0,59,4500.0
Peak,Medium Risk,0.4478780760418069,25.1,6.54,862,11.711368909512775,0.5158166682115575,1989.0,0.0,10.0,746.0,31.0,0,300.958437500001,467,44,522,19202,3.7,155010,0,0,19064,138,0,80000.0
Kwun Lung,Medium Risk,0.37897408274396016,21.2,6.16,73,13.294520547945215,1.3651422142072032,1984.5,0.0,2.0,47.0,15.0,0,71.5992509363296,78,38,128,15570,2.5,28920,6184,0,8683,703,0,2320.0
Mid Levels East,Medium Risk,0.4728253656931332,26.5,7.0,334,13.473053892215557,4.353986662202721,1986.0,0.0,14.0,245.0,22.0,0,92.69892473118277,131,28,176,15464,2.4,61130,0,0,15366,87,11,25500.0
Castle Road,Medium Risk,0.41882373585915456,23.5,6.53,122,11.017213114754082,0.8620018243092586,1988.0,0.0,0.0,150.0,3.0,0,150.33552631578948,127,79,228,19279,3.1,103350,0,0,19279,0,0,36000.0
University,Medium Risk,0.42285593211535366,23.7,6.33,212,16.095283018867917,0.6866081315450159,1983.0,0.0,0.0,225.0,46.0,0,195.01650943396245,332,55,411,18548,3.3,82380,0,0,17781,725,42,33500.0
Water Street,Medium Risk,0.3192479870041696,17.9,6.47,228,12.415394736842106,7.985016868242404,1980.0,0.0,0.0,196.0,20.0,0,43.920731707317046,49,16,70,14550,2.3,37700,0,0,14472,60,18,14000.0
Tung Wah,Low Risk,0.21040690728501676,11.8,6.21,309,12.172491909385101,3.914852876560714,1974.5,0.0,8.0,282.0,16.0,0,57.09589041095891,91,16,130,12320,2.2,50040,0,0,12038,279,3,16000.0
