ENAME,risk_label,risk_score,danger,avg_rainfall,total_buildings,mean_height,plot_r,Median_Time,Type_Industrial,Type_Office/Commercial,Type_Residential/Composite,Type_Others,Waterfront,Mean_Elev,Elev_Var,Elev_Min,Elev_Max,t_pop,adhz,ma_hh,pop_pub,pop_s,pop_pri,pop_non,pop_tem,dm_r
Ping Shan South,Medium Risk,0.6501991871881238,36.4,5.03,2001,11.236031984007944,1.382219344252432,2011.0,1.0,0.0,529.0,19.0,0,35.206814434878126,255,2,272,18279,2.9,36290,0,0,16944,231,1104,10000.0
Fung Cheung,Low Risk,0.2855302552702351,16.0,5.03,195,12.371794871794872,2.6274307493141764,1985.5,1.0,1.0,99.0,3.0,0,8.567010309278345,14,4,17,15974,2.6,30000,0,961,14931,80,2,9500.0
Fung Nin,Low Risk,0.18903884098815038,10.6,5.03,543,11.672007366482433,3.3555961909062004,1980.0,2.0,8.0,138.0,12.0,0,9.069246435845212,21,2,22,18092,2.5,22360,0,0,17985,93,14,7200.0
Yuen Lung,Medium Risk,0.5236713691642854,29.3,5.03,60,10.148333333333348,0.4536853006080439,2004.0,0.0,0.0,33.0,3.0,0,6.918750000000003,15,3,17,13995,2.6,41610,0,0,13995,0,0,14200.0
Shui Pin,Medium Risk,0.4759120900795001,26.7,5.03,233,13.232618025751052,1.7108387579786348,1997.0,0.0,0.0,71.0,17.0,0,11.463617463617473,21,3,23,18834,2.7,29010,5719,0,12822,266,27,1670.0
Yuen Long Centre,Low Risk,0.17239453043186026,9.7,5.03,349,11.993409742120377,6.631702886225901,1978.5,5.0,19.0,180.0,2.0,0,14.73033707865169,27,6,33,15069,2.5,22820,0,0,14646,366,57,6500.0
Nam Ping,Low Risk,0.15374814316876953,8.6,5.03,57,12.208771929824557,2.0713639105604478,1977.0,0.0,0.0,37.0,7.0,0,15.33149171270718,30,4,34,14106,2.5,23040,2507,6649,4737,213,0,1450.0
Tin Shing,Medium Risk,0.3084151802205772,17.3,5.03,42,7.569047619047623,0.3155822458281022,1993.0,0.0,0.0,0.0,3.0,0,39.50574712643679,75,5,97,11306,3.0,34010,0,11159,147,0,0,5000.0
Tin Yiu,Low Risk,0.2799339958677763,15.7,5.03,21,10.471428571428564,0.6151541157996279,1987.5,0.0,1.0,35.0,5.0,0,22.75471698113208,29,7,36,12939,2.8,21050,12752,0,0,187,0,1710.0
Yuen Long Tung Tau,Medium Risk,0.5212751578576627,29.2,5.03,331,11.625377643504539,2.042982524344796,2002.0,24.0,4.0,40.0,4.0,0,8.333333333333332,20,2,21,13928,2.6,37100,1000,604,12189,123,12,11800.0
Yiu Yau,Medium Risk,0.3716236072837282,20.8,5.03,36,15.327777777777772,2.055460868040292,1987.5,0.0,1.0,35.0,5.0,0,24.73000000000001,41,7,53,13688,3.1,22080,11908,1589,153,38,0,1830.0
Tsz Yau,Medium Risk,0.4555996371751183,25.5,5.03,30,16.166666666666657,1.2921405414253926,1992.0,0.0,0.0,0.0,1.0,0,19.10982658959538,47,4,55,13670,2.7,21820,8517,4542,572,39,0,1690.0
Shui Oi,Medium Risk,0.4036400051520998,22.6,5.03,34,17.023529411764702,0.7916827801583656,1987.5,0.0,1.0,35.0,5.0,0,11.749999999999998,19,6,24,17323,3.1,24330,14060,2257,893,113,0,1840.0
Shap Pat Heung East,Medium Risk,0.30015654461784075,16.8,5.57,2868,12.042015341701653,1.2109977045896911,1984.0,0.0,2.0,7.0,3.0,0,67.89016451651088,250,2,259,16262,2.9,20040,3089,0,11024,314,1835,3600.0
Shap Pat Heung West,Medium Risk,0.6640707609387133,37.2,5.57,4207,11.26726883765172,1.776080349274622,2009.0,0.0,0.0,31.0,12.0,0,40.74386617100368,253,3,275,24089,2.9,30450,0,0,22935,55,1099,8400.0
Pat Heung South,High Risk,0.7477992459651965,41.9,7.15,5299,11.356520098131707,0.7403579391473389,2006.0,0.0,0.0,110.0,8.0,0,195.84646456874674,854,4,913,22814,2.9,31370,0,0,21404,0,1410,9000.0
Kingswood South,Medium Risk,0.38602632994806774,21.6,5.03,74,11.679729729729736,0.3355609848279139,1993.0,0.0,2.0,28.0,3.0,0,11.429999999999996,31,3,39,17631,2.8,34930,0,0,17631,0,0,11000.0
Shui Wah,Medium Risk,0.4793670829307025,26.9,5.03,39,10.207692307692326,0.3614393329466735,2001.0,0.0,0.0,0.0,1.0,0,25.55288461538463,63,6,80,14518,3.1,22890,14328,0,0,190,0,1820.0
